nom;puissance;moteur;image;prixDeBase
208 Active 1.2 PureTech 75;75;essence;208.jpg;18050
208 Active 1.5 BlueHDi 100;100;diesel;208.jpg;20250
208 Allure 1.2 PureTech 130;130;essence;208.jpg;22250
208 GT Line e-208;136;electrique;208.jpg;35810
308 Access 1.2 PureTech;110;essence;308.jpg;20700
308 Active 1.5 BlueHDi EAT8;130;diesel;308.jpg;27390
308 Style 1.2 PureTech;110;essence;308.jpg;25690
308 Tech Edition 1.5 BlueHDi EAT8;130;diesel;308.jpg;31990
508 Allure 1.6 PureTech;180;essence;508.jpg;38800
508 Allure 1.6 Hybrid 225;180;hybride;508.jpg;46450
508 GT Line 1.6 Hybrid 225;180;hybride;508.jpg;48950
508SW Active 1.5 BlueHDi 130;130;diesel;508SW.jpg;33050
508SW Allure 1.6 PureTech 180;180;essence;508SW.jpg;40600
508SW GT Line 1.6 Hybrid 225;180;hybride;508SW.jpg;50750
2008 Active 1.2 PureTech 100;100;essence;2008.jpg;22100
2008 Allure 1.2 PureTech 130;130;essence;2008.jpg;25920
2008 GT Line 1.5 BlueHDi 100;100;diesel;2008.jpg;30220
2008 GT Line e-2008;136;electrique;2008.jpg;41620
3008 Active 1.2 PureTech;130;essence;3008.jpg;30080
3008 Crossway 1.2 PureTech EAT8;130;essence;3008.jpg;35710
3008 GT Line Hybrid 225;180;hybride;3008.jpg;47180
3008 GT Line Hybrid4 300;200;hybride;3008.jpg;52680
